,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JNJ241129P00105000,2024-11-05 18:24:53+00:00,105.0,0.1,0.0,0.53,0.0,0.0,,4,1.951172119140625,False,REGULAR,USD
1,JNJ241129P00125000,2024-11-06 16:49:57+00:00,125.0,0.05,0.0,0.58,0.0,0.0,,5,1.2070352148437498,False,REGULAR,USD
2,JNJ241129P00130000,2024-11-21 18:48:43+00:00,130.0,0.02,0.0,0.58,0.0,0.0,30.0,56,1.0253954980468751,False,REGULAR,USD
3,JNJ241129P00131000,2024-11-21 15:26:47+00:00,131.0,0.02,0.0,0.59,0.0,0.0,10.0,70,0.9941406835937501,False,REGULAR,USD
4,JNJ241129P00132000,2024-11-25 14:31:14+00:00,132.0,0.01,0.0,0.01,0.0,0.0,2.0,502,0.5468795312500001,False,REGULAR,USD
5,JNJ241129P00133000,2024-11-25 15:32:03+00:00,133.0,0.01,0.0,1.22,-0.060000002,-85.71429,26.0,55,1.0849655126953124,False,REGULAR,USD
6,JNJ241129P00134000,2024-11-25 15:31:55+00:00,134.0,0.01,0.0,0.22,-0.07,-87.5,13.0,113,0.7402369726562499,False,REGULAR,USD
7,JNJ241129P00135000,2024-11-25 16:17:47+00:00,135.0,0.01,0.0,0.08,-0.07,-87.5,15.0,12,0.6093789062500001,False,REGULAR,USD
8,JNJ241129P00140000,2024-11-21 16:44:47+00:00,140.0,0.03,0.0,0.21,0.0,0.0,10.0,75,0.5488326367187502,False,REGULAR,USD
9,JNJ241129P00141000,2024-11-21 19:20:04+00:00,141.0,0.23,0.0,0.92,0.0,0.0,,4,0.7104521142578125,False,REGULAR,USD
10,JNJ241129P00142000,2024-11-20 14:33:19+00:00,142.0,0.1,0.0,0.71,0.0,0.0,2.0,40,0.629886513671875,False,REGULAR,USD
11,JNJ241129P00143000,2024-11-20 17:13:22+00:00,143.0,0.13,0.01,0.06,0.0,0.0,23.0,48,0.41602146484374997,False,REGULAR,USD
12,JNJ241129P00144000,2024-11-20 20:25:15+00:00,144.0,0.14,0.0,0.74,0.0,0.0,3.0,508,0.561527822265625,False,REGULAR,USD
13,JNJ241129P00145000,2024-11-25 16:34:22+00:00,145.0,0.03,0.0,0.07,-0.03,-50.0,10.0,127,0.367193828125,False,REGULAR,USD
14,JNJ241129P00146000,2024-11-25 20:23:47+00:00,146.0,0.03,0.0,0.35,-0.03,-50.0,3.0,21,0.47949739257812496,False,REGULAR,USD
15,JNJ241129P00147000,2024-11-25 17:58:58+00:00,147.0,0.04,0.03,0.04,-0.050000004,-55.555557,4.0,27,0.28125718749999995,False,REGULAR,USD
16,JNJ241129P00148000,2024-11-25 20:11:32+00:00,148.0,0.03,0.01,0.09,-0.089999996,-75.0,11.0,100,0.2919992675781249,False,REGULAR,USD
17,JNJ241129P00149000,2024-11-25 20:33:18+00:00,149.0,0.05,0.02,0.08,-0.120000005,-70.588234,11.0,132,0.25489026367187506,False,REGULAR,USD
18,JNJ241129P00150000,2024-11-25 20:59:11+00:00,150.0,0.07,0.06,0.08,-0.13,-65.00001,103.0,830,0.22364057617187497,False,REGULAR,USD
19,JNJ241129P00152500,2024-11-25 20:53:15+00:00,152.5,0.25,0.14,0.31,-0.25,-50.0,279.0,236,0.2124102197265625,False,REGULAR,USD
20,JNJ241129P00155000,2024-11-25 20:59:11+00:00,155.0,1.09,0.9,1.28,-0.5,-31.44654,506.0,1427,0.252937158203125,False,REGULAR,USD
21,JNJ241129P00157500,2024-11-25 19:55:10+00:00,157.5,3.0,2.9,4.2,-0.54999995,-15.492957,31.0,272,0.4995167236328125,True,REGULAR,USD
22,JNJ241129P00160000,2024-11-25 20:47:37+00:00,160.0,5.75,3.95,7.65,-0.25,-4.1666665,16.0,887,0.8000508276367188,True,REGULAR,USD
23,JNJ241129P00162500,2024-11-25 20:49:14+00:00,162.5,8.05,6.65,9.2,-0.9499998,-10.555553,22.0,17,0.543949873046875,True,REGULAR,USD
24,JNJ241129P00165000,2024-11-25 19:22:33+00:00,165.0,10.23,10.05,11.75,-1.0200005,-9.06667,111.0,181,0.7458521508789062,True,REGULAR,USD
25,JNJ241129P00170000,2024-10-24 13:36:10+00:00,170.0,7.0,15.8,16.5,0.0,0.0,1.0,14,1.0009815576171874,True,REGULAR,USD
26,JNJ241129P00175000,2024-10-24 18:51:17+00:00,175.0,11.91,20.75,21.8,0.0,0.0,1.0,1,1.2160683728027344,True,REGULAR,USD
